Tipo;FZ;NB;HZ;PZ;FR;HR;SALIDA;PR;MN;L;TRN;TR;D;M;MM;Y;Latgrado_ini;Latmin_ini;LTPI;Longrado_ini;Lonmin_ini;LGPI;EOL;DE;DIL;HIL;Latgrado_fin;Longrado_fin;LTPF;Longrado_fin_1;Lonmin_fin;LGPF;field_34;field_35;Y_coord;X_coord;DTL;HTL;PF;TDF;TEDF;DL;DLT;VA;DV;FNV;ZP;REG;LCC;LCK;CPUELC;LAC;LAK;CPUELA;LCAC;LCAK;FECHA_H;RENDIM_COL;RENDIM_AM;RENDIM_CA;EOL_2;EOL_3;EOL_4;EOL_5;CALADERO
COMERCIAL;45462;LONQUIMAY;0.833333333;SAN ANTONIO;45463;"14:;15";;SAN ANTONIO;S/M;3;4;ARRASTRE;20;6;Jun;2024;33;26;33.43333333;71;51;71.85;LCOL;SI;45463;0.197916667;33;26;33.43333333;71;51;71.85;-33.43333333;-71.85;-33.43333333;-71.85;45463;0.291666667;188;;;135;2.25;2;;;111;V;200;3200;;5;80;;0;0;45463.29167;1422.222222;35.55555556;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45462;LONQUIMAY;0.833333333;SAN ANTONIO;45463;"14:;15";;SAN ANTONIO;S/M;4;4;ARRASTRE;20;6;Jun;2024;33;23;33.38333333;71;51;71.85;LCOL;SI;45463;0.327083333;33;26;33.43333333;71;51;71.85;-33.43333333;-71.85;-33.43333333;-71.85;45463;0.416666667;184;;;129;2.15;2;;;111;V;300;4800;;6;96;;0;0;45463.41667;2232.55814;44.65116279;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45466;LONQUIMAY;0.291666667;SAN ANTONIO;45467;0.8125;;SAN ANTONIO;10;1;4;ARRASTRE;23;6;Jun;2024;33;26;33.43333333;71;51;71.85;LCOL;SI;45466;0.38125;33;23;33.38333333;71;51;71.85;-33.38333333;-71.85;-33.38333333;-71.85;45466;0.465277778;182;;;121;2.016666667;2;;;111;V;365;5840;;5;80;;0;0;45466.46528;2895.867769;39.66942149;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45467;TIRANA II;0.559027778;SAN ANTONIO;45468;0.645833333;;SAN ANTONIO;12;2;4;ARRASTRE;24;6;Jun;2024;33;22;33.36666667;71;51;71.85;LCOL;SI;45467;0.867361111;33;25;33.41666667;71;51;71.85;-33.41666667;-71.85;-33.41666667;-71.85;45467;0.951388889;178;;;111;1.85;2;SW;10;111;V;220;3520;;2;32;;0;0;45467.95139;1902.702703;17.2972973;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45468;LONQUIMAY;0.257638889;SAN ANTONIO;45469;0.454166667;;SAN ANTONIO;14;1;4;ARRASTRE;25;6;Jun;2024;33;26;33.43333333;71;51;71.85;LCOL;SI;45468;0.342361111;33;22;33.36666667;71;51;71.85;-33.36666667;-71.85;-33.36666667;-71.85;45468;0.427083333;186;;;122;2.033333333;2;;;111;V;222;3552;;5;80;;0;0;45468.42708;1746.885246;39.3442623;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45468;LONQUIMAY;0.257638889;SAN ANTONIO;45469;0.454166667;;SAN ANTONIO;14;2;4;ARRASTRE;25;6;Jun;2024;33;22;33.36666667;71;51;71.85;LCOL;SI;45468;0.473611111;33;25;33.41666667;71;51;71.85;-33.41666667;-71.85;-33.41666667;-71.85;45468;0.556944444;182;;;120;2;2;;;111;V;128;2048;;2;32;;0;0;45468.55694;1024;16;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45468;LONQUIMAY;0.257638889;SAN ANTONIO;45469;0.454166667;;SAN ANTONIO;14;3;4;ARRASTRE;25;6;Jun;2024;33;25;33.41666667;71;51;71.85;LCOL;SI;45468;0.589583333;33;20;33.33333333;71;51;71.85;-33.33333333;-71.85;-33.33333333;-71.85;45468;0.694444444;180;FANGO;11.8;151;2.516666667;2;;;111;V;270;4320;;3;48;;0;0;45468.69444;1716.556291;19.07284768;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45468;LONQUIMAY;0.257638889;SAN ANTONIO;45469;0.454166667;;SAN ANTONIO;14;4;4;ARRASTRE;25;6;Jun;2024;33;25;33.41666667;71;51;71.85;LCOL;SI;45468;0.775694444;33;25;33.41666667;71;51;71.85;-33.41666667;-71.85;-33.41666667;-71.85;45468;0.892361111;180;;;168;2.8;2;;;111;V;167;2672;;2;32;;0;0;45468.89236;954.2857143;11.42857143;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45468;LONQUIMAY;0.257638889;SAN ANTONIO;45469;0.454166667;;SAN ANTONIO;14;5;4;ARRASTRE;25;6;Jun;2024;33;23;33.38333333;71;51;71.85;LCOL;SI;45468;0.963888889;33;16;33.26666667;71;51;71.85;-33.26666667;-71.85;-33.26666667;-71.85;45469;0.090972222;182;;;183;3.05;2;;;111;V;270;4320;;5;80;;0;0;45469.09097;1416.393443;26.2295082;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45468;LONQUIMAY;0.257638889;SAN ANTONIO;45469;0.454166667;;SAN ANTONIO;14;6;4;ARRASTRE;26;6;Jun;2024;33;23;33.38333333;71;51;71.85;LCOL;SI;45469;0.180555556;33;19;33.31666667;71;51;71.85;-33.31666667;-71.85;-33.31666667;-71.85;45469;0.264583333;178;;;121;2.016666667;2;;;111;V;173;2768;;3;48;;0;0;45469.26458;1372.561983;23.80165289;0;LCOL/LAM;LCOL;LAM;LAN;ALGARROBO
COMERCIAL;45461;TIRANA II;0.475694444;TOMÉ;45463;0.375;;SAN ANTONIO;6;1;4;ARRASTRE;19;6;Jun;2024;33;48;33.8;72;5;72.08333333;LCOL;SI;45462;0.421527778;33;47;33.78333333;72;4;72.06666667;-33.78333333;-72.06666667;-33.78333333;-72.06666667;45462;0.447222222;171;;;37;0.616666667;2;NE;8;111;V;0;0;;78;1248;;0;0;45462.44722;0;2023.783784;0;LAM;LAN;LAM;LAN;PTA. TORO
COMERCIAL;45461;TIRANA II;0.475694444;TOMÉ;45463;0.375;;SAN ANTONIO;6;4;4;ARRASTRE;19;6;Jun;2024;33;48;33.8;72;3;72.05;LCOL;SI;45462;0.605555556;33;46;33.76666667;72;4;72.06666667;-33.76666667;-72.06666667;-33.76666667;-72.06666667;45462;0.644444444;176;;;56;0.933333333;2;NW;5;111;V;70;1120;;19;304;;0;0;45462.64444;1200;325.7142857;0;LCOL/LAM;LCOL;LAM;LAN;PTA. TORO
COMERCIAL;45446;ALTAIR I;0.594444444;TOMÉ;45447;0.222222222;;TOMÉ;S/M;2;4;ARRASTRE;3;6;Jun;2024;36;6;36.1;73;25;73.41666667;LCOL;SI;45446;0.859722222;36;4;36.06666667;73;24;73.4;-36.06666667;-73.4;-36.06666667;-73.4;45446;0.903472222;157;;;63;1.05;2;NE;3;114;VIII;150;2400;;16.25;260;;0;0;45446.90347;2285.714286;247.6190476;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45449;LONQUIMAY;0.848611111;TOMÉ;45450;0.930555556;;TOMÉ;S/M;1;4;ARRASTRE;7;6;Jun;2024;36;6;36.1;73;25;73.41666667;LCOL;SI;45450;0.077083333;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45450;0.163888889;165;;;125;2.083333333;2;;;114;VIII;200;3200;;6;96;;0;0;45450.16389;1536;46.08;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45449;LONQUIMAY;0.848611111;TOMÉ;45450;0.930555556;;TOMÉ;S/M;3;4;ARRASTRE;7;6;Jun;2024;36;7;36.11666667;73;25;73.41666667;LCOL;SI;45450;0.325694444;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45450;0.444444444;161;;;171;2.85;2;;;114;VIII;400;6400;;30;480;;0;0;45450.44444;2245.614035;168.4210526;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45449;LONQUIMAY;0.848611111;TOMÉ;45450;0.930555556;;TOMÉ;S/M;5;4;ARRASTRE;7;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45450;0.664583333;36;5;36.08333333;73;24;73.4;-36.08333333;-73.4;-36.08333333;-73.4;45450;0.697916667;165;;;48;0.8;2;;;114;VIII;95;1520;;5;80;;0;0;45450.69792;1900;100;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45449;ANTARES;0.621527778;TOMÉ;45450;0.854166667;;TOMÉ;S/M;6;4;ARRASTRE;7;6;Jun;2024;36;7;36.11666667;73;25;73.41666667;LCOL;SI;45450;0.4125;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45450;0.509722222;164;;;130;2.166666667;2;CALMA;;114;VIII;300;4800;;22;352;;0;0;45450.50972;2215.384615;162.4615385;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45450;ALTAIR I;0.09375;TOMÉ;45451;0.027777778;;TOMÉ;S/M;1;4;ARRASTRE;7;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45450;0.272916667;36;5;36.08333333;73;24;73.4;-36.08333333;-73.4;-36.08333333;-73.4;45450;0.353472222;163;;;94;1.566666667;2.1;;;114;VIII;333.125;5330;;28.75;460;;0;0;45450.35347;3402.12766;293.6170213;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45450;ALTAIR I;0.09375;TOMÉ;45451;0.027777778;;TOMÉ;S/M;4;4;ARRASTRE;7;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45450;0.604166667;36;2;36.03333333;73;26;73.43333333;-36.03333333;-73.43333333;-36.03333333;-73.43333333;45450;0.685416667;163;;;117;1.95;2.1;;;114;VIII;350;5600;;35;560;;0;0;45450.68542;2871.794872;287.1794872;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45450;MAORI;0.083333333;TOMÉ;45451;0.142361111;;TOMÉ;S/M;1;4;ARRASTRE;7;6;Jun;2024;36;7;36.11666667;73;25;73.41666667;LCOL;SI;45450;0.277777778;36;4;36.06666667;73;24;73.4;-36.06666667;-73.4;-36.06666667;-73.4;45450;0.357638889;164;FANGO;10.8;115;1.916666667;2;N;3;114;VIII;247.5;3960;;17.5;280;;0;0;45450.35764;2066.086957;146.0869565;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45450;MAORI;0.083333333;TOMÉ;45451;0.142361111;;TOMÉ;S/M;3;4;ARRASTRE;7;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45450;0.488194444;36;4;36.06666667;73;24;73.4;-36.06666667;-73.4;-36.06666667;-73.4;45450;0.572916667;162;;;122;2.033333333;2;W;2;114;VIII;270;4320;;16.875;270;;0;0;45450.57292;2124.590164;132.7868852;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45450;MAORI;0.083333333;TOMÉ;45451;0.142361111;;TOMÉ;S/M;5;4;ARRASTRE;7;6;Jun;2024;36;7;36.11666667;73;27;73.45;LCOL;SI;45450;0.717361111;36;4;36.06666667;73;24;73.4;-36.06666667;-73.4;-36.06666667;-73.4;45450;0.802083333;162;;;122;2.033333333;2;W;3;114;VIII;157.5;2520;;20;320;;0;0;45450.80208;1239.344262;157.3770492;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;ANTARES;0.435416667;TOMÉ;45459;0.826388889;;TOMÉ;3;4;4;ARRASTRE;16;6;Jun;2024;36;8;36.13333333;73;27;73.45;LCOL;SI;45459;0.076388889;36;4;36.06666667;73;23;73.38333333;-36.06666667;-73.38333333;-36.06666667;-73.38333333;45459;0.203472222;159;;;183;3.05;2;CALMA;;114;VIII;127;2032;;5;80;;0;0;45459.20347;666.2295082;26.2295082;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;ANTARES;0.435416667;TOMÉ;45459;0.826388889;;TOMÉ;3;6;4;ARRASTRE;16;6;Jun;2024;36;8;36.13333333;73;26;73.43333333;LCOL;SI;45459;0.372916667;36;4;36.06666667;73;24;73.4;-36.06666667;-73.4;-36.06666667;-73.4;45459;0.477083333;160;;;150;2.5;2;CALMA;;114;VIII;247;3952;;5;80;;0;0;45459.47708;1580.8;32;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;LONQUIMAY;0.461805556;TOMÉ;45459;0.833333333;;TOMÉ;4;1;4;ARRASTRE;15;6;Jun;2024;36;7;36.11666667;73;25;73.41666667;LCOL;SI;45458;0.678472222;36;5;36.08333333;73;25;73.41666667;-36.08333333;-73.41666667;-36.08333333;-73.41666667;45458;0.720833333;161;;;61;1.016666667;2;;;114;VIII;100;1600;;27;432;;0;0;45458.72083;1573.770492;424.9180328;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;LONQUIMAY;0.461805556;TOMÉ;45459;0.833333333;;TOMÉ;4;2;4;ARRASTRE;15;6;Jun;2024;36;5;36.08333333;73;25;73.41666667;LCOL;SI;45458;0.746527778;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45458;0.825;160;FANGO;11.1;113;1.883333333;2;;;114;VIII;160;2560;;30;480;;0;0;45458.825;1359.292035;254.8672566;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;LONQUIMAY;0.461805556;TOMÉ;45459;0.833333333;;TOMÉ;4;3;4;ARRASTRE;15;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45458;0.851388889;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45458;0.955555556;163;;;163;2.716666667;2;;;114;VIII;111;1776;;15;240;;0;0;45458.95556;653.7423313;88.34355828;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;LONQUIMAY;0.461805556;TOMÉ;45459;0.833333333;;TOMÉ;4;4;4;ARRASTRE;15;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45458;0.982638889;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45459;0.123611111;161;;;203;3.383333333;2;;;114;VIII;175;2800;;10;160;;0;0;45459.12361;827.5862069;47.29064039;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;LONQUIMAY;0.461805556;TOMÉ;45459;0.833333333;;TOMÉ;4;5;4;ARRASTRE;16;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45459;0.165277778;36;4;36.06666667;73;23;73.38333333;-36.06666667;-73.38333333;-36.06666667;-73.38333333;45459;0.259722222;161;;;136;2.266666667;2;;;114;VIII;145;2320;;9;144;;0;0;45459.25972;1023.529412;63.52941176;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;LONQUIMAY;0.461805556;TOMÉ;45459;0.833333333;;TOMÉ;4;7;4;ARRASTRE;16;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45459;0.432638889;36;4;36.06666667;73;24;73.4;-36.06666667;-73.4;-36.06666667;-73.4;45459;0.536805556;161;;;150;2.5;2;;;114;VIII;220;3520;;7;112;;0;0;45459.53681;1408;44.8;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;ALTAIR I;0.855555556;TOMÉ;45459;0.958333333;;TOMÉ;5;1;4;ARRASTRE;16;6;Jun;2024;36;8;36.13333333;73;26;73.43333333;LCOL;SI;45459;0.047222222;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45459;0.158333333;158;;;160;2.666666667;2;;;114;VIII;201.875;3230;;8.75;140;;0;0;45459.15833;1211.25;52.5;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;ALTAIR I;0.855555556;TOMÉ;45459;0.958333333;;TOMÉ;5;3;4;ARRASTRE;16;6;Jun;2024;36;8;36.13333333;73;26;73.43333333;LCOL;SI;45459;0.318055556;36;4;36.06666667;73;23;73.38333333;-36.06666667;-73.38333333;-36.06666667;-73.38333333;45459;0.417361111;158;;;122;2.033333333;2;;;114;VIII;320;5120;;20;320;;0;0;45459.41736;2518.032787;157.3770492;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;ALTAIR I;0.855555556;TOMÉ;45459;0.958333333;;TOMÉ;5;5;4;ARRASTRE;16;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45459;0.595138889;36;4;36.06666667;73;22;73.36666667;-36.06666667;-73.36666667;-36.06666667;-73.36666667;45459;0.697222222;160;;;147;2.45;2;;;114;VIII;271.875;4350;;18.125;290;;0;0;45459.69722;1775.510204;118.3673469;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
