Tipo;FZ;NB;HZ;PZ;FR;HR;SALIDA;PR;MN;L;TRN;TR;D;M;MM;Y;Latgrado_ini;Latmin_ini;LTPI;Longrado_ini;Lonmin_ini;LGPI;EOL;DE;DIL;HIL;Latgrado_fin;Longrado_fin;LTPF;Longrado_fin_1;Lonmin_fin;LGPF;field_34;field_35;Y_coord;X_coord;DTL;HTL;PF;TDF;TEDF;DL;DLT;VA;DV;FNV;ZP;REG;LCC;LCK;CPUELC;LAC;LAK;CPUELA;LCAC;LCAK;FECHA_H;RENDIM_COL;RENDIM_AM;RENDIM_CA;EOL_2;EOL_3;EOL_4;EOL_5;CALADERO
COMERCIAL;45458;ALTAIR I;0.855555556;TOMÉ;45459;0.958333333;;TOMÉ;5;6;4;ARRASTRE;16;6;Jun;2024;36;4;36.06666667;73;22;73.36666667;LCOL;SI;45459;0.734722222;36;5;36.08333333;73;23;73.38333333;-36.08333333;-73.38333333;-36.08333333;-73.38333333;45459;0.7625;153;;;39;0.65;2;;;114;VIII;61.875;990;;4;64;;0;0;45459.7625;1523.076923;98.46153846;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;TIRANA II;0.859027778;TOMÉ;45460;0.145833333;;TOMÉ;S/M;1;4;ARRASTRE;16;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45459;0.068055556;36;3;36.05;73;22;73.36666667;-36.05;-73.36666667;-36.05;-73.36666667;45459;0.179166667;161;;;160;2.666666667;2;CALMA;;114;VIII;137;2192;;15;240;;0;0;45459.17917;822;90;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;TIRANA II;0.859027778;TOMÉ;45460;0.145833333;;TOMÉ;S/M;3;4;ARRASTRE;16;6;Jun;2024;36;8;36.13333333;73;27;73.45;LCOL;SI;45459;0.350694444;36;4;36.06666667;73;23;73.38333333;-36.06666667;-73.38333333;-36.06666667;-73.38333333;45459;0.46875;157;;;170;2.833333333;2;CALMA;;114;VIII;250;4000;;6;96;;0;0;45459.46875;1411.764706;33.88235294;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45458;TIRANA II;0.859027778;TOMÉ;45460;0.145833333;;TOMÉ;S/M;5;4;ARRASTRE;16;6;Jun;2024;36;8;36.13333333;73;27;73.45;LCOL;SI;45459;0.64375;36;3;36.05;73;22;73.36666667;-36.05;-73.36666667;-36.05;-73.36666667;45459;0.727083333;154;;;180;3;2;N;8;114;VIII;264;4224;;10;160;;0;0;45459.72708;1408;53.33333333;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;2;4;ARRASTRE;23;6;Jun;2024;36;7;36.11666667;73;25;73.41666667;LCOL;SI;45466;0.708333333;36;3;36.05;73;23;73.38333333;-36.05;-73.38333333;-36.05;-73.38333333;45466;0.8125;160;;;150;2.5;2;CALMA;;114;VIII;150.625;2410;;11.25;180;;0;0;45466.8125;964;72;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;4;4;ARRASTRE;23;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45466;0.98125;36;3;36.05;73;22;73.36666667;-36.05;-73.36666667;-36.05;-73.36666667;45467;0.093055556;158;;;161;2.683333333;2;CALMA;;114;VIII;140.625;2250;;11.25;180;;0;0;45467.09306;838.5093168;67.08074534;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;6;4;ARRASTRE;24;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45467;0.275694444;36;3;36.05;73;22;73.36666667;-36.05;-73.36666667;-36.05;-73.36666667;45467;0.388888889;155;;;143;2.383333333;2;CALMA;;114;VIII;213.75;3420;;13.125;210;;0;0;45467.38889;1434.965035;88.11188811;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;8;4;ARRASTRE;24;6;Jun;2024;36;7;36.11666667;73;25;73.41666667;LCOL;SI;45467;0.559027778;36;2;36.03333333;73;22;73.36666667;-36.03333333;-73.36666667;-36.03333333;-73.36666667;45467;0.666666667;154;;;155;2.583333333;2;SW;3;114;VIII;184.375;2950;;11.25;180;;0;0;45467.66667;1141.935484;69.67741935;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;9;4;ARRASTRE;24;6;Jun;2024;36;3;36.05;73;22;73.36666667;LCOL;SI;45467;0.69375;36;5;36.08333333;73;24;73.4;-36.08333333;-73.4;-36.08333333;-73.4;45467;0.75;157;;;81;1.35;2;SW;3;114;VIII;61.875;990;;5.625;90;;0;0;45467.75;733.3333333;66.66666667;0;LCOL/LAM;LCOL;LAM;LAN;NUGURUE
COMERCIAL;45446;ALTAIR I;0.594444444;TOMÉ;45447;0.222222222;;TOMÉ;S/M;1;4;ARRASTRE;3;6;Jun;2024;36;7;36.11666667;73;26;73.43333333;LCOL;SI;45446;0.786111111;36;6;36.1;73;25;73.41666667;-36.1;-73.41666667;-36.1;-73.41666667;45446;0.834722222;158;;;70;1.166666667;2;NE;3;114;VIII;213.75;3420;;22.5;360;;0;0;45446.83472;2931.428571;308.5714286;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45446;ALTAIR I;0.594444444;TOMÉ;45447;0.222222222;;TOMÉ;S/M;3;4;ARRASTRE;3;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45446;0.938888889;36;7;36.11666667;73;25;73.41666667;-36.11666667;-73.41666667;-36.11666667;-73.41666667;45447;0.019444444;158;ARENA-FANGO;10.5;115;1.916666667;2;NE;3;114;VIII;230;3680;;18.75;300;;0;0;45447.01944;1920;156.5217391;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45449;LONQUIMAY;0.848611111;TOMÉ;45450;0.930555556;;TOMÉ;S/M;2;4;ARRASTRE;7;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45450;0.202777778;36;6;36.1;73;25;73.41666667;-36.1;-73.41666667;-36.1;-73.41666667;45450;0.291666667;162;FANGO;10.9;162;2.7;2;;;114;VIII;190;3040;;20;320;;0;0;45450.29167;1125.925926;118.5185185;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45449;LONQUIMAY;0.848611111;TOMÉ;45450;0.930555556;;TOMÉ;S/M;4;4;ARRASTRE;7;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45450;0.494444444;36;7;36.11666667;73;25;73.41666667;-36.11666667;-73.41666667;-36.11666667;-73.41666667;45450;0.597916667;163;;;129;2.15;2;;;114;VIII;350;5600;;13;208;;0;0;45450.59792;2604.651163;96.74418605;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45449;ANTARES;0.621527778;TOMÉ;45450;0.854166667;;TOMÉ;S/M;7;4;ARRASTRE;7;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45450;0.572916667;36;6;36.1;73;25;73.41666667;-36.1;-73.41666667;-36.1;-73.41666667;45450;0.645833333;164;FANGO-DURO;;105;1.75;2;CALMA;;114;VIII;192;3072;;20;320;;0;0;45450.64583;1755.428571;182.8571429;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45450;ALTAIR I;0.09375;TOMÉ;45451;0.027777778;;TOMÉ;S/M;2;4;ARRASTRE;7;6;Jun;2024;36;5;36.08333333;73;26;73.43333333;LCOL;SI;45450;0.3875;36;8;36.13333333;73;27;73.45;-36.13333333;-73.45;-36.13333333;-73.45;45450;0.455555556;164;;;98;1.633333333;2.1;;;114;VIII;256.25;4100;;23.125;370;;0;0;45450.45556;2510.204082;226.5306122;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45450;ALTAIR I;0.09375;TOMÉ;45451;0.027777778;;TOMÉ;S/M;3;4;ARRASTRE;7;6;Jun;2024;36;8;36.13333333;73;26;73.43333333;LCOL;SI;45450;0.488194444;36;7;36.11666667;73;25;73.41666667;-36.11666667;-73.41666667;-36.11666667;-73.41666667;45450;0.570833333;163;;;109;1.816666667;2.1;;;114;VIII;211.875;3390;;10.625;170;;0;0;45450.57083;1866.055046;93.57798165;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45450;ALTAIR I;0.09375;TOMÉ;45451;0.027777778;;TOMÉ;S/M;5;4;ARRASTRE;7;6;Jun;2024;36;4;36.06666667;73;24;73.4;LCOL;SI;45450;0.722222222;36;6;36.1;73;25;73.41666667;-36.1;-73.41666667;-36.1;-73.41666667;45450;0.773611111;167;ARENA-FANGO;10.8;74;1.233333333;2.1;;;114;VIII;333.125;5330;;28.75;460;;0;0;45450.77361;4321.621622;372.972973;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45450;MAORI;0.083333333;TOMÉ;45451;0.142361111;;TOMÉ;S/M;2;4;ARRASTRE;7;6;Jun;2024;36;4;36.06666667;73;25;73.41666667;LCOL;SI;45450;0.392361111;36;7;36.11666667;73;26;73.43333333;-36.11666667;-73.43333333;-36.11666667;-73.43333333;45450;0.458333333;164;;;95;1.583333333;2;W;3;114;VIII;236.25;3780;;24.375;390;;0;0;45450.45833;2387.368421;246.3157895;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45450;MAORI;0.083333333;TOMÉ;45451;0.142361111;;TOMÉ;S/M;4;4;ARRASTRE;7;6;Jun;2024;36;5;36.08333333;73;25;73.41666667;LCOL;SI;45450;0.604166667;36;8;36.13333333;73;27;73.45;-36.13333333;-73.45;-36.13333333;-73.45;45450;0.684027778;161;;;115;1.916666667;2;W;2;114;VIII;258.75;4140;;11.875;190;;0;0;45450.68403;2160;99.13043478;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45450;MAORI;0.083333333;TOMÉ;45451;0.142361111;;TOMÉ;S/M;6;4;ARRASTRE;7;6;Jun;2024;36;3;36.05;73;24;73.4;LCOL;SI;45450;0.840277778;36;7;36.11666667;73;26;73.43333333;-36.11666667;-73.43333333;-36.11666667;-73.43333333;45450;0.930555556;169;;;130;2.166666667;2;N;3;114;VIII;168.75;2700;;23.125;370;;0;0;45450.93056;1246.153846;170.7692308;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;ANTARES;0.435416667;TOMÉ;45459;0.826388889;;TOMÉ;3;3;4;ARRASTRE;15;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45458;0.919444444;36;7;36.11666667;73;26;73.43333333;-36.11666667;-73.43333333;-36.11666667;-73.43333333;45459;0.032638889;163;;;163;2.716666667;2;CALMA;;114;VIII;125;2000;;13;208;;0;0;45459.03264;736.196319;76.56441718;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;ANTARES;0.435416667;TOMÉ;45459;0.826388889;;TOMÉ;3;5;4;ARRASTRE;16;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45459;0.241666667;36;7;36.11666667;73;26;73.43333333;-36.11666667;-73.43333333;-36.11666667;-73.43333333;45459;0.343055556;160;FANGO-DURO;;146;2.433333333;2;CALMA;;114;VIII;113;1808;;30;480;;0;0;45459.34306;743.0136986;197.260274;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;ANTARES;0.435416667;TOMÉ;45459;0.826388889;;TOMÉ;3;7;4;ARRASTRE;16;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45459;0.5125;36;7;36.11666667;73;26;73.43333333;-36.11666667;-73.43333333;-36.11666667;-73.43333333;45459;0.616666667;159;;;150;2.5;2;CALMA;;114;VIII;140;2240;;2;32;;0;0;45459.61667;896;12.8;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;LONQUIMAY;0.461805556;TOMÉ;45459;0.833333333;;TOMÉ;4;6;4;ARRASTRE;16;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45459;0.303472222;36;7;36.11666667;73;26;73.43333333;-36.11666667;-73.43333333;-36.11666667;-73.43333333;45459;0.401388889;160;;;141;2.35;2;;;114;VIII;205;3280;;20;320;;0;0;45459.40139;1395.744681;136.1702128;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;ALTAIR I;0.855555556;TOMÉ;45459;0.958333333;;TOMÉ;5;2;4;ARRASTRE;16;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45459;0.186805556;36;8;36.13333333;73;26;73.43333333;-36.13333333;-73.43333333;-36.13333333;-73.43333333;45459;0.286805556;160;;;144;2.4;2;;;114;VIII;223.125;3570;;11.25;180;;0;0;45459.28681;1487.5;75;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;ALTAIR I;0.855555556;TOMÉ;45459;0.958333333;;TOMÉ;5;4;4;ARRASTRE;16;6;Jun;2024;36;8;36.13333333;73;23;73.38333333;LCOL;SI;45459;0.458333333;36;8;36.13333333;73;26;73.43333333;-36.13333333;-73.43333333;-36.13333333;-73.43333333;45459;0.561805556;164;;;149;2.483333333;2;;;114;VIII;236.25;3780;;15;240;;0;0;45459.56181;1522.147651;96.6442953;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;TIRANA II;0.859027778;TOMÉ;45460;0.145833333;;TOMÉ;S/M;2;4;ARRASTRE;16;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45459;0.2125;36;8;36.13333333;73;26;73.43333333;-36.13333333;-73.43333333;-36.13333333;-73.43333333;45459;0.320138889;158;;;156;2.6;2;CALMA;;114;VIII;112;1792;;12;192;;0;0;45459.32014;689.2307692;73.84615385;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;TIRANA II;0.859027778;TOMÉ;45460;0.145833333;;TOMÉ;S/M;4;4;ARRASTRE;16;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45459;0.50625;36;8;36.13333333;73;26;73.43333333;-36.13333333;-73.43333333;-36.13333333;-73.43333333;45459;0.609027778;160;;;148;2.466666667;2;N;8;114;VIII;200;3200;;7;112;;0;0;45459.60903;1297.297297;45.40540541;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45458;TIRANA II;0.859027778;TOMÉ;45460;0.145833333;;TOMÉ;S/M;6;4;ARRASTRE;16;6;Jun;2024;36;3;36.05;73;22;73.36666667;LCOL;SI;45459;0.810416667;36;8;36.13333333;73;27;73.45;-36.13333333;-73.45;-36.13333333;-73.45;45459;0.943055556;158;FANGO-DURO;11.1;191;3.183333333;2;N;8;114;VIII;116;1856;;5;80;;0;0;45459.94306;583.0366492;25.13089005;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;3;4;ARRASTRE;23;6;Jun;2024;36;3;36.05;73;23;73.38333333;LCOL;SI;45466;0.840277778;36;8;36.13333333;73;26;73.43333333;-36.13333333;-73.43333333;-36.13333333;-73.43333333;45466;0.951388889;160;;;160;2.666666667;2;CALMA;;114;VIII;138.125;2210;;11.25;180;;0;0;45466.95139;828.75;67.5;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;5;4;ARRASTRE;24;6;Jun;2024;36;3;36.05;73;22;73.36666667;LCOL;SI;45467;0.135416667;36;8;36.13333333;73;26;73.43333333;-36.13333333;-73.43333333;-36.13333333;-73.43333333;45467;0.246527778;160;;;160;2.666666667;2;CALMA;;114;VIII;150.625;2410;;11.25;180;;0;0;45467.24653;903.75;67.5;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45466;MAORI;0.354166667;TOMÉ;45467;0.958333333;;TOMÉ;9;7;4;ARRASTRE;24;6;Jun;2024;36;3;36.05;73;22;73.36666667;LCOL;SI;45467;0.425694444;36;7;36.11666667;73;25;73.41666667;-36.11666667;-73.41666667;-36.11666667;-73.41666667;45467;0.527777778;155;;;147;2.45;2;CALMA;;114;VIII;152.5;2440;;11.25;180;;0;0;45467.52778;995.9183673;73.46938776;0;LCOL/LAM;LCOL;LAM;LAN;ACHIRA
COMERCIAL;45461;ANTARES;0.673611111;TOMÉ;45462;0.475694444;;TOMÉ;S/M;2;4;ARRASTRE;18;6;Jun;2024;36;27;36.45;73;31;73.51666667;LCOL;SI;45461;0.925694444;36;24;36.4;73;31;73.51666667;-36.4;-73.51666667;-36.4;-73.51666667;45461;0.96875;179;;10.5;62;1.033333333;2;SSW;6;114;VIII;0;0;;17;272;;0;0;45461.96875;0;263.2258065;0;LAM;LAN;LAM;LAN;ITATA
COMERCIAL;45461;ANTARES;0.673611111;TOMÉ;45462;0.475694444;;TOMÉ;S/M;5;4;ARRASTRE;19;6;Jun;2024;36;21;36.35;73;31;73.51666667;LCOL;SI;45462;0.181944444;36;24;36.4;73;31;73.51666667;-36.4;-73.51666667;-36.4;-73.51666667;45462;0.3;162;;10.7;170;2.833333333;2;CALMA;;114;VIII;90;1440;;5;80;;0;0;45462.3;508.2352941;28.23529412;0;LCOL/LAM;LCOL;LAM;LAN;ITATA
COMERCIAL;45461;ANTARES;0.673611111;TOMÉ;45462;0.475694444;;TOMÉ;S/M;1;4;ARRASTRE;18;6;Jun;2024;36;33;36.55;73;34;73.56666667;LCOL;SI;45461;0.833333333;36;31;36.51666667;73;34;73.56666667;-36.51666667;-73.56666667;-36.51666667;-73.56666667;45461;0.875;190;;10.7;60;1;2;SSW;6;114;VIII;0;0;;2;32;;0;0;45461.875;0;32;0;LAM;LAN;LAM;LAN;W. S. VICENTE